Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Storeys,Type Tags,OSM URL
Retail: Department store,England SE and Central S,London,way,592451311,The Watermans Arms,2.0,building=retail; amenity=pub,https://www.openstreetmap.org/way/592451311
Retail: Department store,England SE and Central S,London,way,593123254,Pets Corner,2.0,building=retail; shop=pet,https://www.openstreetmap.org/way/593123254
Retail: Department store,England SE and Central S,London,way,593123256,Classy Cleaners,2.0,building=retail; shop=dry_cleaning,https://www.openstreetmap.org/way/593123256
Retail: Department store,England SE and Central S,London,way,593485040,The Parish Bakery,2.0,building=retail; shop=bakery,https://www.openstreetmap.org/way/593485040
Retail: Department store,England SE and Central S,London,way,593485046,PizzaExpress,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/593485046
Retail: Department store,England SE and Central S,London,way,593485048,B London Boutique,2.0,building=retail,https://www.openstreetmap.org/way/593485048
Retail: Department store,England SE and Central S,London,way,593485059,Presents,2.0,building=retail; shop=gift,https://www.openstreetmap.org/way/593485059
Retail: Department store,England SE and Central S,London,way,594941378,Charles Crown,2.0,building=retail,https://www.openstreetmap.org/way/594941378
Retail: Department store,England SE and Central S,London,way,595656364,Chambers,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/595656364
Retail: Department store,England SE and Central S,London,way,595814487,Olympic Studios,2.0,building=retail; amenity=cinema,https://www.openstreetmap.org/way/595814487
Retail: Department store,England SE and Central S,London,way,595841170,Head Spa,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/595841170
Retail: Department store,England SE and Central S,London,way,595841171,Riverside Gallery,2.0,building=retail; shop=art,https://www.openstreetmap.org/way/595841171
Retail: Department store,England SE and Central S,London,way,595841172,T.H. Sanders and Sons,2.0,building=retail; shop=funeral_directors,https://www.openstreetmap.org/way/595841172
Retail: Department store,England SE and Central S,London,way,595841173,Base Face Pizza,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/595841173
Retail: Department store,England SE and Central S,London,way,595925562,M&S Foodhall,2.0,building=retail; shop=supermarket,https://www.openstreetmap.org/way/595925562
Retail: Department store,England SE and Central S,London,way,595932783,,2.0,building=retail,https://www.openstreetmap.org/way/595932783
Retail: Department store,England SE and Central S,London,way,595932784,,2.0,building=retail,https://www.openstreetmap.org/way/595932784
Retail: Department store,England SE and Central S,London,way,595932785,,2.0,building=retail,https://www.openstreetmap.org/way/595932785
Retail: Department store,England SE and Central S,London,way,595932786,,2.0,building=retail,https://www.openstreetmap.org/way/595932786
Retail: Department store,England SE and Central S,London,way,600866230,Marsh & Parsons,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/600866230
Retail: Department store,England SE and Central S,London,way,600866234,Two Peas in a Pod,2.0,building=retail; shop=greengrocer,https://www.openstreetmap.org/way/600866234
Retail: Department store,England SE and Central S,London,way,600875394,China Chef,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/600875394
Retail: Department store,England SE and Central S,London,way,600875396,Stylus Architects,2.0,building=retail; office=architect,https://www.openstreetmap.org/way/600875396
Retail: Department store,England SE and Central S,London,way,600875398,Carter Jonas,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/600875398
Retail: Department store,England SE and Central S,London,way,600875400,Tobias and the Angel,2.0,building=retail; shop=furniture,https://www.openstreetmap.org/way/600875400
Retail: Department store,England SE and Central S,London,way,600875402,Cafe 66,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/600875402
Retail: Department store,England SE and Central S,London,way,600875404,Lux Spa,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/600875404
Retail: Department store,England SE and Central S,London,way,600875406,Super Natural,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/600875406
Retail: Department store,England SE and Central S,London,way,600875408,Taylor & Marr,2.0,building=retail; shop=interior_decoration,https://www.openstreetmap.org/way/600875408
Retail: Department store,England SE and Central S,London,way,600875410,Sinéad Kelly,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/600875410
Retail: Department store,England SE and Central S,London,way,600875413,Crate,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/600875413
Retail: Department store,England SE and Central S,London,way,600875415,,2.0,building=retail,https://www.openstreetmap.org/way/600875415
Retail: Department store,England SE and Central S,London,way,600875417,JK,2.0,building=retail; shop=antiques,https://www.openstreetmap.org/way/600875417
Retail: Department store,England SE and Central S,London,way,600875419,Blossom Spa,2.0,building=retail; shop=massage,https://www.openstreetmap.org/way/600875419
Retail: Department store,England SE and Central S,London,way,600875422,Oh Darling!,2.0,building=retail,https://www.openstreetmap.org/way/600875422
Retail: Department store,England SE and Central S,London,way,600875425,The Waggery & The Dogwash,2.0,building=retail; shop=pet_grooming,https://www.openstreetmap.org/way/600875425
Retail: Department store,England SE and Central S,London,way,600875428,Barneswood,2.0,building=retail,https://www.openstreetmap.org/way/600875428
Retail: Department store,England SE and Central S,London,way,600875431,iLocal,2.0,building=retail; shop=convenience,https://www.openstreetmap.org/way/600875431
Retail: Department store,England SE and Central S,London,way,600875433,40 Cafe & Bistro,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/600875433
Retail: Department store,England SE and Central S,London,way,601401745,The Lost Corner,2.0,building=retail; shop=interior_decoration,https://www.openstreetmap.org/way/601401745
Retail: Department store,England SE and Central S,London,way,601401746,The Clothesroom,2.0,building=retail; shop=clothes,https://www.openstreetmap.org/way/601401746
Retail: Department store,England SE and Central S,London,way,601401747,Creations,2.0,building=retail; shop=yes,https://www.openstreetmap.org/way/601401747
Retail: Department store,England SE and Central S,London,way,602121150,Cardamom Restaurant and Sports Lounge,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/602121150
Retail: Department store,England SE and Central S,London,way,603966807,Sang Kee,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/603966807
Retail: Department store,England SE and Central S,London,way,603966810,Vision Signs,2.0,building=retail; shop=signs,https://www.openstreetmap.org/way/603966810
Retail: Department store,England SE and Central S,London,way,603966843,Marinara Pizza,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/603966843
Retail: Department store,England SE and Central S,London,way,604406099,,2.0,building=retail,https://www.openstreetmap.org/way/604406099
Retail: Department store,England SE and Central S,London,way,604406105,,2.0,building=retail,https://www.openstreetmap.org/way/604406105
Retail: Department store,England SE and Central S,London,way,604406106,,2.0,building=retail,https://www.openstreetmap.org/way/604406106
Retail: Department store,England SE and Central S,London,way,605083328,Gabba,2.0,building=retail,https://www.openstreetmap.org/way/605083328
Retail: Department store,England SE and Central S,London,way,606507213,Chesham Arms,2.0,building=retail; amenity=pub,https://www.openstreetmap.org/way/606507213
Retail: Department store,England SE and Central S,London,way,606507287,The Box,2.0,building=retail; shop=clothes,https://www.openstreetmap.org/way/606507287
Retail: Department store,England SE and Central S,London,way,606848727,,2.0,building=retail,https://www.openstreetmap.org/way/606848727
Retail: Department store,England SE and Central S,London,way,606848732,,2.0,building=retail,https://www.openstreetmap.org/way/606848732
Retail: Department store,England SE and Central S,London,way,608054952,,2.0,building=retail,https://www.openstreetmap.org/way/608054952
Retail: Department store,England SE and Central S,London,way,609808890,Impeccable,2.0,building=retail; shop=clothes,https://www.openstreetmap.org/way/609808890
Retail: Department store,England SE and Central S,London,way,609808891,St Tropez Salon,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/609808891
Retail: Department store,England SE and Central S,London,way,609808892,Exotic Fruits,2.0,building=retail; shop=greengrocer,https://www.openstreetmap.org/way/609808892
Retail: Department store,England SE and Central S,London,way,609808893,Home Needs,2.0,building=retail; shop=houseware,https://www.openstreetmap.org/way/609808893
Retail: Department store,England SE and Central S,London,way,609808894,B&K Salt Beef Bar,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/609808894
Retail: Department store,England SE and Central S,London,way,609808896,Stitches,2.0,building=retail; shop=tailor,https://www.openstreetmap.org/way/609808896
Retail: Department store,England SE and Central S,London,way,609808910,Dojo,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/609808910
Retail: Department store,England SE and Central S,London,way,609808911,The Moon and Sixpence,2.0,building=retail; amenity=pub,https://www.openstreetmap.org/way/609808911
Retail: Department store,England SE and Central S,London,way,609926192,Well Street Wines,2.0,building=retail; shop=alcohol,https://www.openstreetmap.org/way/609926192
Retail: Department store,England SE and Central S,London,way,609926193,Mega Food Centre,2.0,building=retail; shop=convenience,https://www.openstreetmap.org/way/609926193
Retail: Department store,England SE and Central S,London,way,610164099,Cats Protection,2.0,building=retail; shop=charity,https://www.openstreetmap.org/way/610164099
Retail: Department store,England SE and Central S,London,way,610164104,,2.0,building=retail; shop=vacant,https://www.openstreetmap.org/way/610164104
Retail: Department store,England SE and Central S,London,way,610164105,Pizza 2 Night,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/610164105
Retail: Department store,England SE and Central S,London,way,610164106,The Photo Shop,2.0,building=retail; shop=photo,https://www.openstreetmap.org/way/610164106
Retail: Department store,England SE and Central S,London,way,610164107,Coulsdon Grill,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/610164107
Retail: Department store,England SE and Central S,London,way,610164108,Infohealth Pharmacy,2.0,building=retail; amenity=pharmacy; healthcare=pharmacy,https://www.openstreetmap.org/way/610164108
Retail: Department store,England SE and Central S,London,way,610164110,Coulsdon Home Hardware,2.0,building=retail; shop=hardware,https://www.openstreetmap.org/way/610164110
Retail: Department store,England SE and Central S,London,way,610164111,Marble Marble,2.0,building=retail; shop=tiles,https://www.openstreetmap.org/way/610164111
Retail: Department store,England SE and Central S,London,way,610164113,Coral,2.0,building=retail; shop=bookmaker,https://www.openstreetmap.org/way/610164113
Retail: Department store,England SE and Central S,London,way,610164114,The Valley Cafe,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/610164114
Retail: Department store,England SE and Central S,London,way,610164116,Coughlans Bakery,2.0,building=retail; shop=bakery,https://www.openstreetmap.org/way/610164116
Retail: Department store,England SE and Central S,London,way,610164117,Streets Ahead,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/610164117
Retail: Department store,England SE and Central S,London,way,610164118,Streeter Marshall,2.0,building=retail; office=lawyer,https://www.openstreetmap.org/way/610164118
Retail: Department store,England SE and Central S,London,way,610164119,Scope,2.0,building=retail; shop=charity,https://www.openstreetmap.org/way/610164119
Retail: Department store,England SE and Central S,London,way,610164120,Lorimers,2.0,building=retail; shop=stationery,https://www.openstreetmap.org/way/610164120
Retail: Department store,England SE and Central S,London,way,610164121,,2.0,building=retail; shop=vacant,https://www.openstreetmap.org/way/610164121
Retail: Department store,England SE and Central S,London,way,610164123,,2.0,building=retail; shop=vacant,https://www.openstreetmap.org/way/610164123
Retail: Department store,England SE and Central S,London,way,610164124,Bond & Sherwill,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/610164124
Retail: Department store,England SE and Central S,London,way,610164126,Caffè Nero,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/610164126
Retail: Department store,England SE and Central S,London,way,610164130,Favorite Chicken & Ribs,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/610164130
Retail: Department store,England SE and Central S,London,way,610164131,Barringtons Dry Cleaners,2.0,building=retail; shop=dry_cleaning,https://www.openstreetmap.org/way/610164131
Retail: Department store,England SE and Central S,London,way,610164135,,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/610164135
Retail: Department store,England SE and Central S,London,way,610172803,Maxwell Valentine,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/610172803
Retail: Department store,England SE and Central S,London,way,610172804,Advanced Print,2.0,building=retail; shop=stationery,https://www.openstreetmap.org/way/610172804
Retail: Department store,England SE and Central S,London,way,610172805,Papa John's,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/610172805
Retail: Department store,England SE and Central S,London,way,610172806,The Sun Box Bespoke Tanning Salon,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/610172806
Retail: Department store,England SE and Central S,London,way,610172807,Guitar Nuts,2.0,building=retail; shop=music,https://www.openstreetmap.org/way/610172807
Retail: Department store,England SE and Central S,London,way,610172809,Cafe Oasis,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/610172809
Retail: Department store,England SE and Central S,London,way,610172811,Cozy Glow Home,2.0,building=retail; shop=houseware,https://www.openstreetmap.org/way/610172811
Retail: Department store,England SE and Central S,London,way,610172812,Route 66,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/610172812
Retail: Department store,England SE and Central S,London,way,610172813,Vans Nail Studio,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/610172813
Retail: Department store,England SE and Central S,London,way,610172814,The Foot Health Centre,2.0,building=retail; healthcare=podiatrist,https://www.openstreetmap.org/way/610172814
Retail: Department store,England SE and Central S,London,way,610172818,BCSS Car Sounds Ltd,2.0,building=retail; shop=hifi,https://www.openstreetmap.org/way/610172818
Retail: Department store,England SE and Central S,London,way,610172819,Coulsdon Barbers,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/610172819
Retail: Department store,England SE and Central S,London,way,610172820,,2.0,building=retail; shop=vacant,https://www.openstreetmap.org/way/610172820
Retail: Department store,England SE and Central S,London,way,610172821,Best Coulsdon Tailor,2.0,building=retail; shop=tailor,https://www.openstreetmap.org/way/610172821
Retail: Department store,England SE and Central S,London,way,610172822,Bella Art,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/610172822
Retail: Department store,England SE and Central S,London,way,610172823,Wood & Stone,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/610172823
Retail: Department store,England SE and Central S,London,way,610172825,India Brasserie,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/610172825
Retail: Department store,England SE and Central S,London,way,610207291,,2.0,building=retail,https://www.openstreetmap.org/way/610207291
Retail: Department store,England SE and Central S,London,way,610207296,Auto-Fix,2.0,building=retail; shop=car_repair,https://www.openstreetmap.org/way/610207296
Retail: Department store,England SE and Central S,London,way,610207310,WA Truelove & Sons,2.0,building=retail; shop=funeral_directors,https://www.openstreetmap.org/way/610207310
Retail: Department store,England SE and Central S,London,way,610207312,Toriton Izakaya,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/610207312
Retail: Department store,England SE and Central S,London,way,610216298,,2.0,building=retail,https://www.openstreetmap.org/way/610216298
Retail: Department store,England SE and Central S,London,way,610219566,Walter & Mair,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/610219566
Retail: Department store,England SE and Central S,London,way,610269856,"Doble Motorcycles, Service Centre",2.0,building=retail; shop=motorcycle,https://www.openstreetmap.org/way/610269856
Retail: Department store,England SE and Central S,London,way,610269858,Pizza Hut Delivery,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/610269858
Retail: Department store,England SE and Central S,London,way,610269862,Best Save Food & Wine,2.0,building=retail; shop=convenience,https://www.openstreetmap.org/way/610269862
Retail: Department store,England SE and Central S,London,way,610269863,Hydro Hounds,2.0,building=retail; shop=pet,https://www.openstreetmap.org/way/610269863
Retail: Department store,England SE and Central S,London,way,610269864,Therapy & Life Centre,2.0,building=retail; healthcare=physiotherapist,https://www.openstreetmap.org/way/610269864
Retail: Department store,England SE and Central S,London,way,610269865,,2.0,building=retail,https://www.openstreetmap.org/way/610269865
Retail: Department store,England SE and Central S,London,way,612792950,New Watford Market,2.0,building=retail,https://www.openstreetmap.org/way/612792950
Retail: Department store,England SE and Central S,London,way,614265575,,2.0,building=retail,https://www.openstreetmap.org/way/614265575
Retail: Department store,England SE and Central S,London,way,615279074,DD's Cafe,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/615279074
Retail: Department store,England SE and Central S,London,way,615279075,The Garwood Foundation,2.0,building=retail; shop=charity,https://www.openstreetmap.org/way/615279075
Retail: Department store,England SE and Central S,London,way,615279076,Lawson & Stone,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/615279076
Retail: Department store,England SE and Central S,London,way,615279077,Happy Swan,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/615279077
Retail: Department store,England SE and Central S,London,way,615279078,Token,2.0,building=retail; shop=jewelry,https://www.openstreetmap.org/way/615279078
Retail: Department store,England SE and Central S,London,way,615279079,Andrew Franklin Photography,2.0,building=retail; shop=photo,https://www.openstreetmap.org/way/615279079
Retail: Department store,England SE and Central S,London,way,615279080,CSL,2.0,building=retail; shop=carpet,https://www.openstreetmap.org/way/615279080
Retail: Department store,England SE and Central S,London,way,615279081,The Tea Culture,2.0,building=retail; shop=tea,https://www.openstreetmap.org/way/615279081
Retail: Department store,England SE and Central S,London,way,615279082,The Mutt Hut,2.0,building=retail; shop=pet,https://www.openstreetmap.org/way/615279082
Retail: Department store,England SE and Central S,London,way,615279083,Sunspot,2.0,building=retail,https://www.openstreetmap.org/way/615279083
Retail: Department store,England SE and Central S,London,way,615279084,Valley Homes,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/615279084
Retail: Department store,England SE and Central S,London,way,615279085,Selsdon Windows,2.0,building=retail,https://www.openstreetmap.org/way/615279085
Retail: Department store,England SE and Central S,London,way,615279086,De Niro's,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/615279086
Retail: Department store,England SE and Central S,London,way,615279087,Art & Craft,2.0,building=retail; shop=stationery,https://www.openstreetmap.org/way/615279087
Retail: Department store,England SE and Central S,London,way,615279088,Singapore Orchid,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/615279088
Retail: Department store,England SE and Central S,London,way,615279089,,2.0,building=retail; shop=vacant,https://www.openstreetmap.org/way/615279089
Retail: Department store,England SE and Central S,London,way,615279090,Five Star Nails,2.0,building=retail; shop=beauty,https://www.openstreetmap.org/way/615279090
Retail: Department store,England SE and Central S,London,way,615279091,Fusion Hair Studio,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/615279091
Retail: Department store,England SE and Central S,London,way,615279092,Trendylane,2.0,building=retail; shop=clothes,https://www.openstreetmap.org/way/615279092
Retail: Department store,England SE and Central S,London,way,615279093,Shooting,2.0,building=retail; shop=weapons,https://www.openstreetmap.org/way/615279093
Retail: Department store,England SE and Central S,London,way,618004617,Messy Barbers,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/618004617
Retail: Department store,England SE and Central S,London,way,619590775,Alom Cash & Carry,2.0,building=retail; shop=convenience,https://www.openstreetmap.org/way/619590775
Retail: Department store,England SE and Central S,London,way,619762286,Iceland,2.0,building=retail; shop=frozen_food,https://www.openstreetmap.org/way/619762286
Retail: Department store,England SE and Central S,London,way,619762287,Midpoint Café,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/619762287
Retail: Department store,England SE and Central S,London,way,620319755,To Kefi,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/620319755
Retail: Department store,England SE and Central S,London,way,620319762,Atari-Ya Foods,2.0,building=retail; shop=deli,https://www.openstreetmap.org/way/620319762
Retail: Department store,England SE and Central S,London,way,620319766,Alrahman Grocery & Butcher Supermarket,2.0,building=retail; shop=convenience,https://www.openstreetmap.org/way/620319766
Retail: Department store,England SE and Central S,London,way,620319771,Sandwich Shop,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/620319771
Retail: Department store,England SE and Central S,London,way,620319776,JCE Sartorial,2.0,building=retail; shop=clothes,https://www.openstreetmap.org/way/620319776
Retail: Department store,England SE and Central S,London,way,620319781,Fortune Cookie,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/620319781
Retail: Department store,England SE and Central S,London,way,620319785,Sultan's Shawarma,2.0,building=retail; amenity=fast_food,https://www.openstreetmap.org/way/620319785
Retail: Department store,England SE and Central S,London,way,620319789,Jarvis,2.0,building=retail; shop=seafood,https://www.openstreetmap.org/way/620319789
Retail: Department store,England SE and Central S,London,way,620319793,Fish! Kitchen,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/620319793
Retail: Department store,England SE and Central S,London,way,623758953,Cotford Parade,2.0,building=retail,https://www.openstreetmap.org/way/623758953
Retail: Department store,England SE and Central S,London,way,624517499,The Space,2.0,building=retail; amenity=community_centre,https://www.openstreetmap.org/way/624517499
Retail: Department store,England SE and Central S,London,way,627271996,Love Me Do Brides,2.0,building=retail; shop=clothes,https://www.openstreetmap.org/way/627271996
Retail: Department store,England SE and Central S,London,way,627272034,The Black Horse,2.0,building=retail; amenity=pub,https://www.openstreetmap.org/way/627272034
Retail: Department store,England SE and Central S,London,way,627272060,,2.0,building=retail,https://www.openstreetmap.org/way/627272060
Retail: Department store,England SE and Central S,London,way,627274664,Porter's,2.0,building=retail; shop=greengrocer,https://www.openstreetmap.org/way/627274664
Retail: Department store,England SE and Central S,London,way,628144632,Sakonis,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/628144632
Retail: Department store,England SE and Central S,London,way,628144633,Chingon,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/628144633
Retail: Department store,England SE and Central S,London,way,628144635,,2.0,building=retail,https://www.openstreetmap.org/way/628144635
Retail: Department store,England SE and Central S,London,way,628144636,Izgara,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/628144636
Retail: Department store,England SE and Central S,London,way,628144637,Zufa,2.0,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/628144637
Retail: Department store,England SE and Central S,London,way,628144638,Hob Salon,2.0,building=retail; shop=hairdresser,https://www.openstreetmap.org/way/628144638
Retail: Department store,England SE and Central S,London,way,628410652,,2.0,building=retail,https://www.openstreetmap.org/way/628410652
Retail: Department store,England SE and Central S,London,way,628410656,Star News Food and Wine,2.0,building=retail; shop=convenience,https://www.openstreetmap.org/way/628410656
Retail: Department store,England SE and Central S,London,way,631150342,,2.0,building=retail,https://www.openstreetmap.org/way/631150342
Retail: Department store,England SE and Central S,London,way,636621705,The George,2.0,building=retail; amenity=pub,https://www.openstreetmap.org/way/636621705
Retail: Department store,England SE and Central S,London,way,636948371,,2.0,building=retail,https://www.openstreetmap.org/way/636948371
Retail: Department store,England SE and Central S,London,way,654794358,,2.0,building=retail,https://www.openstreetmap.org/way/654794358
Retail: Department store,England SE and Central S,London,way,659089215,Phones 4 All,2.0,building=retail; shop=mobile_phone,https://www.openstreetmap.org/way/659089215
Retail: Department store,England SE and Central S,London,way,665590350,Construction Sealants Ltd,2.0,building=retail,https://www.openstreetmap.org/way/665590350
Retail: Department store,England SE and Central S,London,way,669364879,,2.0,building=retail,https://www.openstreetmap.org/way/669364879
Retail: Department store,England SE and Central S,London,way,669364885,,2.0,building=retail,https://www.openstreetmap.org/way/669364885
Retail: Department store,England SE and Central S,London,way,674521389,,2.0,building=retail,https://www.openstreetmap.org/way/674521389
Retail: Department store,England SE and Central S,London,way,678151684,,2.0,building=retail,https://www.openstreetmap.org/way/678151684
Retail: Department store,England SE and Central S,London,way,681061396,,2.0,building=retail,https://www.openstreetmap.org/way/681061396
Retail: Department store,England SE and Central S,London,way,682857073,Lidos Extra,2.0,building=retail; shop=supermarket,https://www.openstreetmap.org/way/682857073
Retail: Department store,England SE and Central S,London,way,682857076,Robinson-Jackson,2.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/682857076
Retail: Department store,England SE and Central S,London,way,682857083,Emochi,2.0,building=retail; amenity=cafe,https://www.openstreetmap.org/way/682857083
Retail: Department store,England SE and Central S,London,way,686252742,Allsop Arms,2.0,building=retail; amenity=pub,https://www.openstreetmap.org/way/686252742
Retail: Department store,England SE and Central S,London,way,686961213,,2.0,building=retail,https://www.openstreetmap.org/way/686961213
Retail: Department store,England SE and Central S,London,way,687240098,,2.0,building=retail,https://www.openstreetmap.org/way/687240098
Retail: Department store,England SE and Central S,London,way,687471283,,2.0,building=retail,https://www.openstreetmap.org/way/687471283
Retail: Department store,England SE and Central S,London,way,687471284,,2.0,building=retail,https://www.openstreetmap.org/way/687471284
Retail: Department store,England SE and Central S,London,way,687471285,,2.0,building=retail,https://www.openstreetmap.org/way/687471285
Retail: Department store,England SE and Central S,London,way,687471286,,2.0,building=retail,https://www.openstreetmap.org/way/687471286
Retail: Department store,England SE and Central S,London,way,687471288,,2.0,building=retail,https://www.openstreetmap.org/way/687471288
Retail: Department store,England SE and Central S,London,way,687471289,,2.0,building=retail,https://www.openstreetmap.org/way/687471289
Retail: Department store,England SE and Central S,London,way,687471290,,2.0,building=retail,https://www.openstreetmap.org/way/687471290
Retail: Department store,England SE and Central S,London,way,687471291,,2.0,building=retail,https://www.openstreetmap.org/way/687471291
Retail: Department store,England SE and Central S,London,way,687471292,,2.0,building=retail,https://www.openstreetmap.org/way/687471292
Retail: Department store,England SE and Central S,London,way,687471293,,2.0,building=retail,https://www.openstreetmap.org/way/687471293
Retail: Department store,England SE and Central S,London,way,687471294,,2.0,building=retail,https://www.openstreetmap.org/way/687471294
Retail: Department store,England SE and Central S,London,way,688487579,,2.0,building=retail,https://www.openstreetmap.org/way/688487579
Retail: Department store,England SE and Central S,London,way,688487580,,2.0,building=retail,https://www.openstreetmap.org/way/688487580
Retail: Department store,England SE and Central S,London,way,688487581,,2.0,building=retail,https://www.openstreetmap.org/way/688487581
Retail: Department store,England SE and Central S,London,way,688487582,,2.0,building=retail,https://www.openstreetmap.org/way/688487582
Retail: Department store,England SE and Central S,London,way,688487583,,2.0,building=retail,https://www.openstreetmap.org/way/688487583
Retail: Department store,England SE and Central S,London,way,688487584,,2.0,building=retail,https://www.openstreetmap.org/way/688487584
Retail: Department store,England SE and Central S,London,way,688487585,,2.0,building=retail,https://www.openstreetmap.org/way/688487585
Retail: Department store,England SE and Central S,London,way,688487586,,2.0,building=retail,https://www.openstreetmap.org/way/688487586
Retail: Department store,England SE and Central S,London,way,688487587,,2.0,building=retail,https://www.openstreetmap.org/way/688487587
Retail: Department store,England SE and Central S,London,way,688487588,,2.0,building=retail,https://www.openstreetmap.org/way/688487588
Retail: Department store,England SE and Central S,London,way,688487589,,2.0,building=retail,https://www.openstreetmap.org/way/688487589
Retail: Department store,England SE and Central S,London,way,688487590,,2.0,building=retail,https://www.openstreetmap.org/way/688487590
Retail: Department store,England SE and Central S,London,way,688487591,,2.0,building=retail,https://www.openstreetmap.org/way/688487591
Retail: Department store,England SE and Central S,London,way,688487592,,2.0,building=retail,https://www.openstreetmap.org/way/688487592
Retail: Department store,England SE and Central S,London,way,688487593,,2.0,building=retail,https://www.openstreetmap.org/way/688487593
Retail: Department store,England SE and Central S,London,way,688487594,,2.0,building=retail,https://www.openstreetmap.org/way/688487594
Retail: Department store,England SE and Central S,London,way,688487595,,2.0,building=retail,https://www.openstreetmap.org/way/688487595
Retail: Department store,England SE and Central S,London,way,688487596,,2.0,building=retail,https://www.openstreetmap.org/way/688487596
Retail: Department store,England SE and Central S,London,way,688497360,,2.0,building=retail,https://www.openstreetmap.org/way/688497360
Retail: Department store,England SE and Central S,London,way,688497361,,2.0,building=retail,https://www.openstreetmap.org/way/688497361
Retail: Department store,England SE and Central S,London,way,688497362,,2.0,building=retail,https://www.openstreetmap.org/way/688497362
Retail: Department store,England SE and Central S,London,way,688497364,,2.0,building=retail,https://www.openstreetmap.org/way/688497364
Retail: Department store,England SE and Central S,London,way,688497365,,2.0,building=retail,https://www.openstreetmap.org/way/688497365
Retail: Department store,England SE and Central S,London,way,688497366,,2.0,building=retail,https://www.openstreetmap.org/way/688497366
Retail: Department store,England SE and Central S,London,way,688497367,,2.0,building=retail,https://www.openstreetmap.org/way/688497367
Retail: Department store,England SE and Central S,London,way,688497368,,2.0,building=retail,https://www.openstreetmap.org/way/688497368
Retail: Department store,England SE and Central S,London,way,689245811,,2.0,building=retail,https://www.openstreetmap.org/way/689245811
