Description:,"Celsius-based heating degree days with a base temperature of 15.5 C"
Source:,"www.degreedays.net"
2024-01-28,5.4,18
2024-01-29,4.5,11
2024-01-30,9.7,2
2024-01-31,8.7,2
2024-02-01,9.4,1
2024-02-02,6.1,1
2024-02-03,3.5,8
2024-02-04,3.3,25
2024-02-05,4.6,8
2024-02-06,3,2
2024-02-07,8,2
2024-02-08,4.9,1
2024-02-09,5,1
2024-02-10,7.4,1
2024-02-11,7.5,13
2024-02-12,9.9,15
2024-02-13,5.6,1
2024-02-14,2.5,2
2024-02-15,3.2,1
2024-02-16,5.1,2
2024-02-17,3.7,7
2024-02-18,3.9,23
2024-02-19,5.5,14
2024-02-20,6,1
2024-02-21,4.7,1
2024-02-22,8.1,1
2024-02-23,10.6,2
2024-02-24,10.7,2
2024-02-25,8.7,14
2024-02-26,9.1,14
2024-02-27,9.8,2
2024-02-28,6.4,2
2024-02-29,7.7,1
2024-03-01,10.3,1
2024-03-02,12,3
2024-03-03,11.4,14
2024-03-04,9.6,12
2024-03-05,9.6,2
2024-03-06,10.4,1
2024-03-07,7.3,0
2024-03-08,8.7,1
2024-03-09,7.8,4
2024-03-10,7.7,18
2024-03-11,7.6,9
2024-03-12,3.4,2
2024-03-13,3.4,2
2024-03-14,3.7,1
2024-03-15,4.3,2
2024-03-16,6.9,4
2024-03-17,3.2,17
2024-03-18,4.4,10
2024-03-19,2.8,2
2024-03-20,3.4,2
2024-03-21,4.6,1
2024-03-22,6.3,2
2024-03-23,8.5,9
2024-03-24,6,21
2024-03-25,6.3,9
2024-03-26,6.7,1
2024-03-27,9.4,2
2024-03-28,8.6,2
2024-03-29,6.6,2
2024-03-30,7.2,2
2024-03-31,5.5,3
2024-04-01,7,8
2024-04-02,6.3,6
2024-04-03,4.1,2
2024-04-04,3.4,1
2024-04-05,2.7,1
2024-04-06,2.1,0
2024-04-07,3.2,2
2024-04-08,4.7,5
2024-04-09,6.2,1
2024-04-10,5,2
2024-04-11,2,1
2024-04-12,2.6,2
2024-04-13,3.1,0
2024-04-14,5.5,2
2024-04-15,6.1,5
2024-04-16,5.5,0
2024-04-17,7.3,2
2024-04-18,7.2,1
2024-04-19,4.6,3
2024-04-20,6.5,2
2024-04-21,7.3,4
2024-04-22,8.2,2
2024-04-23,5.3,1
2024-04-24,6.6,2
2024-04-25,7.5,1
2024-04-26,7.2,2
2024-04-27,7,0
2024-04-28,5.4,3
2024-04-29,4.6,5
2024-04-30,5,0
2024-05-01,4.9,0
2024-05-02,5.6,1
2024-05-03,4.1,0
2024-05-04,5.8,1
2024-05-05,4.5,3
2024-05-06,3.3,3
2024-05-07,2.3,4
2024-05-08,3.2,0
2024-05-09,2.6,1
2024-05-10,2.7,0
2024-05-11,2.4,1
2024-05-12,1.9,4
2024-05-13,2.2,3
2024-05-14,1.8,1
2024-05-15,2.1,0
2024-05-16,2.3,1
2024-05-17,2.7,0
2024-05-18,2,1
2024-05-19,1.7,5
2024-05-20,1.9,3
2024-05-21,2.1,1
2024-05-22,1.1,0
2024-05-23,2.5,2
2024-05-24,3,0
2024-05-25,3.7,0
2024-05-26,2.5,4
2024-05-27,2.4,4
2024-05-28,0.8,3
2024-05-29,1.3,0
2024-05-30,2,1
2024-05-31,2,0
2024-06-01,1.9,0
2024-06-02,1,5
2024-06-03,1.2,3
2024-06-04,1.5,1
2024-06-05,3.5,0
2024-06-06,3.2,1
2024-06-07,3.7,0
2024-06-08,1.8,0
2024-06-09,2.5,4
2024-06-10,2.1,3
2024-06-11,3.4,1
2024-06-12,4.2,0
2024-06-13,4.7,1
2024-06-14,2.3,0
2024-06-15,2.5,1
2024-06-16,1.9,5
2024-06-17,2.5,3
2024-06-18,1.9,1
2024-06-19,2,2
2024-06-20,1.3,0
2024-06-21,1.5,0
2024-06-22,0.7,0
2024-06-23,0.3,4
2024-06-24,0,3
2024-06-25,0.6,1
2024-06-26,0.3,0
2024-06-27,0.3,0
2024-06-28,1.6,0
2024-06-29,2.2,2
2024-06-30,0.7,4
2024-07-01,0.8,4
2024-07-02,0.9,0
2024-07-03,1,0
2024-07-04,1.3,0
2024-07-05,0.9,0
2024-07-06,2.1,0
2024-07-07,1.7,3
2024-07-08,2.3,0
2024-07-09,0,0
2024-07-10,0.4,0
2024-07-11,2.2,0
2024-07-12,2.2,0
2024-07-13,1.5,0
2024-07-14,2,4
2024-07-15,1.3,0
2024-07-16,0.6,0
2024-07-17,1.5,0
2024-07-18,0.4,0
2024-07-19,0.6,0
2024-07-20,0,0
2024-07-21,0,2
2024-07-22,0,0
2024-07-23,0,0
2024-07-24,0.3,0
2024-07-25,0,2
2024-07-26,1.2,0
2024-07-27,2.4,0
2024-07-28,2.5,4
2024-07-29,1.8,0
2024-07-30,0.3,0
2024-07-31,0,0
2024-08-01,0,0
2024-08-02,0.3,0
2024-08-03,0.2,0
2024-08-04,1.4,3
2024-08-05,0,0
2024-08-06,0.2,1
2024-08-07,0.5,0
2024-08-08,0.2,1
2024-08-09,0,0
2024-08-10,0.2,0
2024-08-11,0,4
2024-08-12,0.2,0
2024-08-13,1.9,0
2024-08-14,0.3,0
2024-08-15,1.6,0
2024-08-16,0.9,0
2024-08-17,2.7,0
2024-08-18,0.7,4
2024-08-19,0.2,0
2024-08-20,0.3,1
2024-08-21,1.2,0
2024-08-22,0,1
2024-08-23,0,0
2024-08-24,1.2,0
2024-08-25,1.3,4
2024-08-26,0.6,0
2024-08-27,0,3
2024-08-28,0.2,0
2024-08-29,2.3,0
2024-08-30,3.5,0
2024-08-31,1.8,0
2024-09-01,0,5
2024-09-02,0,2
2024-09-03,0,0
2024-09-04,0.9,0
2024-09-05,2.1,0
2024-09-06,0.6,0
2024-09-07,1.3,0
2024-09-08,0.4,4
2024-09-09,1.5,0
2024-09-10,1.4,0
2024-09-11,4.3,0
2024-09-12,6.5,0
2024-09-13,6.1,0
2024-09-14,5.2,0
2024-09-15,3.5,4
2024-09-16,0.9,0
2024-09-17,3.4,0
2024-09-18,1.3,0
2024-09-19,0.3,0
2024-09-20,0.9,0
2024-09-21,0.4,0
2024-09-22,0.4,5
2024-09-23,0.6,0
2024-09-24,1.5,0
2024-09-25,2.3,0
2024-09-26,1.7,0
2024-09-27,4.5,0
2024-09-28,5.5,0
2024-09-29,2.9,4
2024-09-30,1.8,0
2024-10-01,3.2,0
2024-10-02,2.1,0
2024-10-03,4.2,0
2024-10-04,3.6,0
2024-10-05,1.9,0
2024-10-06,1.7,2
2024-10-07,1.3,3
2024-10-08,1.7,0
2024-10-09,2.4,0
2024-10-10,4.7,0
2024-10-11,7.8,0
2024-10-12,4.7,0
2024-10-13,7.3,3
2024-10-14,2.5,3
2024-10-15,0.5,0
2024-10-16,0,0
2024-10-17,2.8,1
2024-10-18,4.1,0
2024-10-19,1.9,1
2024-10-20,1,2
2024-10-21,3.1,3
2024-10-22,2.8,0
2024-10-23,5.2,0
2024-10-24,0.8,0
2024-10-25,1.5,1
2024-10-26,5.8,1
2024-10-27,5.8,4
2024-10-28,1.8,4
2024-10-29,3.5,1
2024-10-30,2.9,0
2024-10-31,5,2
2024-11-01,5.7,0
2024-11-02,4.1,2
2024-11-03,3.1,8
2024-11-04,4,14
2024-11-05,2.8,1
2024-11-06,2.3,2
2024-11-07,2.8,1
2024-11-08,4.4,0
2024-11-09,6,4
2024-11-10,3.2,13
2024-11-11,5.7,15
2024-11-12,9.6,1
2024-11-13,7.5,2
2024-11-14,7.4,1
2024-11-15,11.1,2
2024-11-16,8.1,4
2024-11-17,5.9,11
2024-11-18,5.1,7
2024-11-19,8.9,5
2024-11-20,14.4,2
2024-11-21,14.6,0
2024-11-22,11.2,3
2024-11-23,3.7,16
2024-11-24,2.4,20
2024-11-25,6.1,9
2024-11-26,8.8,2
2024-11-27,10.5,2
2024-11-28,9.2,1
2024-11-29,3.8,2
2024-11-30,1.8,16
2024-12-01,2.3,20
2024-12-02,7.4,14
2024-12-03,11.8,1
2024-12-04,9,2
2024-12-05,2.5,2
2024-12-06,6.5,2
2024-12-07,6.5,4
2024-12-08,7.9,13
2024-12-09,8.3,15
2024-12-10,8.8,1
2024-12-11,9.5,1
2024-12-12,9.3,1
2024-12-13,9.3,1
2024-12-14,8.5,8
2024-12-15,4.5,19
2024-12-16,5.5,6
2024-12-17,5,2
2024-12-18,2.5,1
2024-12-19,9,1
2024-12-20,9.5,1
2024-12-21,5.8,3
2024-12-22,8.4,16
2024-12-23,7.7,3
2024-12-24,3.9,2
2024-12-25,6.5,100
2024-12-26,9,15
2024-12-27,8.3,12
2024-12-28,7.6,4
2024-12-29,6.9,12
2024-12-30,6.9,6
2024-12-31,4.7,2
2025-01-01,7.2,13
2025-01-02,14.4,9
2025-01-03,17.1,1
2025-01-04,13.2,3
2025-01-05,3.5,11
2025-01-06,9.8,6
2025-01-07,12.7,1
2025-01-08,14.9,1
2025-01-09,14.1,0
2025-01-10,13.6,1
2025-01-11,11.1,2
2025-01-12,9,10
2025-01-13,9.2,10
2025-01-14,8.5,1
2025-01-15,9.3,1
2025-01-16,10.3,0
2025-01-17,8.6,0
2025-01-18,10,4
2025-01-19,10.9,16
2025-01-20,9.8,14
2025-01-21,11.2,0
2025-01-22,11.4,1
2025-01-23,9.2,0
2025-01-24,5.8,1
2025-01-25,11.9,1
2025-01-26,7.8,11
2025-01-27,7.9,14
2025-01-28,7.2,0
2025-01-29,10.3,1
2025-01-30,10.7,0
2025-01-31,8.7,0
2025-02-01,9.5,5
2025-02-02,8.2,18
2025-02-03,6.5,14
2025-02-04,6.7,1
2025-02-05,11.1,1
2025-02-06,11.8,0
2025-02-07,12.1,1
2025-02-08,12.2,7
2025-02-09,11.5,17
2025-02-10,11.6,10
2025-02-11,11.6,1
2025-02-12,11.4,0
2025-02-13,11.2,0
2025-02-14,10.3,1
2025-02-15,9,2
2025-02-16,10.6,12
2025-02-17,9.9,10
2025-02-18,9.2,1
2025-02-19,6.5,1
2025-02-20,2.9,0
2025-02-21,4.1,1
2025-02-22,5.7,7
2025-02-23,4.6,18
2025-02-24,4.6,9
2025-02-25,8,1
2025-02-26,8.6,1
2025-02-27,8.6,1
2025-02-28,12.3,0
2025-03-01,11.8,5
2025-03-02,12.1,18
2025-03-03,13.1,20
2025-03-04,12.4,2
2025-03-05,11.3,1
2025-03-06,7.1,3
2025-03-07,4.7,0
2025-03-08,4,7
2025-03-09,3.9,19
2025-03-10,3.9,10
2025-03-11,8.5,1
2025-03-12,10.9,1
2025-03-13,11.5,0
2025-03-14,12.3,0
2025-03-15,9.5,11
2025-03-16,10,23
2025-03-17,9,14
2025-03-18,9.5,1
2025-03-19,8.9,0
2025-03-20,5.1,0
2025-03-21,4,0
2025-03-22,3.2,8
2025-03-23,4.3,18
2025-03-24,5.8,12
2025-03-25,4.9,1
2025-03-26,5.1,1
2025-03-27,6.5,2
2025-03-28,5.9,1
2025-03-29,7.5,0
2025-03-30,3.6,5
2025-03-31,6.5,8
2025-04-01,5.8,0
2025-04-02,5,0
2025-04-03,4.4,0
2025-04-04,2.1,0
2025-04-05,2.9,0
2025-04-06,5.4,4
2025-04-07,6.7,10
2025-04-08,7.5,4
2025-04-09,6.7,4
2025-04-10,7.7,7
2025-04-11,6.2,9
2025-04-12,6,5
2025-04-13,5.4,3
2025-04-14,5.4,13
2025-04-15,5.6,9
2025-04-16,6.1,4
2025-04-17,6.4,7
2025-04-18,5.1,8
2025-04-19,4.4,4
2025-04-20,5.5,4
2025-04-21,3.4,9
2025-04-22,5.2,6
2025-04-23,4.1,3
2025-04-24,5,7
2025-04-25,4.7,9
2025-04-26,3.9,4
2025-04-27,4.6,2
2025-04-28,3.8,8
2025-04-29,3.7,6
2025-04-30,3.4,5
2025-05-01,2.4,4
2025-05-02,1.7,2
2025-05-03,2.2,2
2025-05-04,4.3,2
2025-05-05,5.7,2
2025-05-06,5.8,3
2025-05-07,4.9,2
2025-05-08,3.9,3
2025-05-09,4.3,2
2025-05-10,4.5,0
2025-05-11,2.5,4
2025-05-12,2,2
2025-05-13,2.2,3
2025-05-14,2.2,2
2025-05-15,3.1,2
2025-05-16,2.8,2
2025-05-17,3.7,2
2025-05-18,3.8,3
2025-05-19,3.2,2
2025-05-20,2.9,3
2025-05-21,2.1,3
2025-05-22,2.4,2
2025-05-23,1.8,1
2025-05-24,0.1,2
2025-05-25,0.9,2
2025-05-26,2.2,1
2025-05-27,0.9,3
2025-05-28,0.5,2
2025-05-29,0.2,3
2025-05-30,0.4,1
2025-05-31,0.7,2
2025-06-01,1.3,3
2025-06-02,2.4,2
2025-06-03,1.8,3
2025-06-04,1.8,2
2025-06-05,1.9,3
2025-06-06,2.1,1
2025-06-07,3.1,1
2025-06-08,2.7,3
2025-06-09,0.9,2
2025-06-10,0.6,3
2025-06-11,1.8,1
2025-06-12,0,3
2025-06-13,0.3,1
2025-06-14,0.3,2
2025-06-15,1.4,3
2025-06-16,0.5,1
2025-06-17,0.8,3
2025-06-18,0.3,2
2025-06-19,0.7,3
2025-06-20,0,1
2025-06-21,0,2
2025-06-22,0.1,2
2025-06-23,0.3,2
2025-06-24,0,3
2025-06-25,0,2
2025-06-26,0,2
2025-06-27,0.1,1
2025-06-28,0,2
2025-06-29,0,3
2025-06-30,0,2
2025-07-01,0,3
2025-07-02,0.4,2
2025-07-03,2.2,3
2025-07-04,2.1,0
2025-07-05,0,2
2025-07-06,0,3
2025-07-07,0.7,2
2025-07-08,1,3
2025-07-09,0.9,2
2025-07-10,0.2,3
2025-07-11,0.1,1
2025-07-12,0.4,2
2025-07-13,0.4,3
2025-07-14,0,2
2025-07-15,0.2,3
2025-07-16,0.1,2
2025-07-17,0,3
2025-07-18,0.2,0
2025-07-19,0.1,2
2025-07-20,0.3,2
2025-07-21,1.6,2
2025-07-22,0,3
2025-07-23,0.5,2
2025-07-24,0.4,3
2025-07-25,0.8,0
2025-07-26,0,2
2025-07-27,0.4,3
2025-07-28,0.8,2
2025-07-29,0.3,4
2025-07-30,0,2
2025-07-31,0,3
2025-08-01,0.5,0
2025-08-02,2.1,2
2025-08-03,0.2,3
2025-08-04,0.1,2
2025-08-05,1.5,4
2025-08-06,2.1,2
2025-08-07,0,2
2025-08-08,0.4,0
2025-08-09,1.3,2
2025-08-10,1.4,3
2025-08-11,1.3,2
2025-08-12,0,3
2025-08-13,0,1
2025-08-14,0,3
2025-08-15,0.5,1
2025-08-16,0.2,2
2025-08-17,0.9,3
2025-08-18,0,2
2025-08-19,0.2,4
2025-08-20,0.4,2
2025-08-21,3,3
2025-08-22,2.9,0
2025-08-23,2.2,2
2025-08-24,2,3
2025-08-25,1.3,2
2025-08-26,0,3
2025-08-27,0.4,2
2025-08-28,0.9,3
2025-08-29,0.8,0
2025-08-30,0.9,2
2025-08-31,0.6,3
2025-09-01,0.5,2
2025-09-02,0.3,3
2025-09-03,0.2,2
2025-09-04,1.5,3
2025-09-05,2.4,0
2025-09-06,0.6,2
2025-09-07,0.1,3
2025-09-08,1.7,2
2025-09-09,2.2,3
2025-09-10,1.1,2
2025-09-11,1.7,2
2025-09-12,2.2,0
2025-09-13,2,2
2025-09-14,3.4,3
2025-09-15,0.8,0
2025-09-16,1.3,3
2025-09-17,0.3,1
2025-09-18,0,3
2025-09-19,0,1
2025-09-20,0.9,2
2025-09-21,5.6,2
2025-09-22,5.6,1
2025-09-23,6.5,3
2025-09-24,5.8,2
2025-09-25,5.6,3
2025-09-26,5.8,1
2025-09-27,1.7,0
2025-09-28,3.3,3
2025-09-29,5.3,0
2025-09-30,4.9,3
2025-10-01,3.7,1
2025-10-02,2.9,1
2025-10-03,0.1,1
2025-10-04,2.7,2
2025-10-05,2.6,3
2025-10-06,2.2,2
2025-10-07,2.6,4
2025-10-08,4.2,2
2025-10-09,5,2
2025-10-10,2.6,1
2025-10-11,4,2
2025-10-12,4.2,2
2025-10-13,2.5,2
2025-10-14,1.9,4
2025-10-15,4.3,2
2025-10-16,4,3
2025-10-17,2.4,1
2025-10-18,1.5,1
2025-10-19,1.1,1
2025-10-20,2,2
2025-10-21,3.5,3
2025-10-22,6.3,2
2025-10-23,6.6,3
2025-10-24,6.2,1
2025-10-25,6.4,2
2025-10-26,5.9,3
2025-10-27,2.5,5
2025-10-28,2.5,3
2025-10-29,5.9,2
2025-10-30,4.6,3
2025-10-31,1.1,1
2025-11-01,4.4,2
2025-11-02,5.4,7
2025-11-03,1.3,14
2025-11-04,1.1,5
2025-11-05,0.6,7
2025-11-06,1.8,6
2025-11-07,3.2,5
2025-11-08,6.2,10
2025-11-09,3.1,14
2025-11-10,4.7,7
2025-11-11,1.9,7
2025-11-12,1,5
2025-11-13,2,6
2025-11-14,1.4,7
2025-11-15,3.7,9
2025-11-16,5.8,12
2025-11-17,10.6,6
2025-11-18,11.4,7
2025-11-19,11.5,12
2025-11-20,13.4,7
2025-11-21,15.3,6
2025-11-22,8.4,7
2025-11-23,7.2,15
2025-11-24,7.7,7
2025-11-25,10.6,7
2025-11-26,11.7,9
2025-11-27,2.6,8
2025-11-28,4.3,6
2025-11-29,7.1,7
2025-11-30,9.3,13
2025-12-01,4.3,8
2025-12-02,9.3,7
2025-12-03,11.5,11
2025-12-04,9.5,7
2025-12-05,8.5,6
2025-12-06,4.6,7
2025-12-07,2.5,18
2025-12-08,3.2,9
2025-12-09,2.4,8
2025-12-10,5.1,9
2025-12-11,4.6,8
2025-12-12,7.4,5
2025-12-13,11,5
2025-12-14,4.8,7
2025-12-15,5.2,12
2025-12-16,9.1,7
2025-12-17,8.8,8
2025-12-18,6.2,7
2025-12-19,8,7
2025-12-20,7.9,6
2025-12-21,8.3,15
2025-12-22,6.7,9
2025-12-23,7.9,7
2025-12-24,10.8,13
2025-12-25,12.5,24
2025-12-26,12.2,13
2025-12-27,10.6,6
2025-12-28,9.6,14
2025-12-29,10.8,5
2025-12-30,11.2,6
2025-12-31,15.9,16
2026-01-01,13.7,13
2026-01-02,12.8,8
2026-01-03,14.1,5
2026-01-04,14.8,10
2026-01-05,16.3,9
2026-01-06,14,6
2026-01-07,9.4,8
2026-01-08,8.6,12
2026-01-09,10.4,9
2026-01-10,13,6
2026-01-11,6.7,20
2026-01-12,4.8,15
2026-01-13,6.4,7
2026-01-14,11.9,8
2026-01-15,8.3,9
2026-01-16,10.3,6
2026-01-17,9.3,11
2026-01-18,8.7,23
2026-01-19,9,9
2026-01-20,7.5,8
2026-01-21,6.3,9
2026-01-22,7.2,8
2026-01-23,7.5,7
2026-01-24,7.5,6
2026-01-25,8.8,16
2026-01-26,8.1,6
2026-01-27,7,9
2026-01-28,9.6,9
2026-01-29,7.7,8
2026-01-30,7.9,6
2026-01-31,8.2,5
2026-02-01,9,15
2026-02-02,8.3,9
2026-02-03,7.6,8
2026-02-04,7.1,9
2026-02-05,6,8
2026-02-06,5.4,6
2026-02-07,5.6,5
2026-02-08,6.3,15
2026-02-09,6,9
2026-02-10,5.9,6
2026-02-11,5.3,7
2026-02-12,6.4,9
2026-02-13,9.7,6
2026-02-14,11.3,4
2026-02-15,7.3,18
2026-02-16,7.9,8
2026-02-17,11.5,8
2026-02-18,9.8,10
2026-02-19,9.8,8
2026-02-20,6,6
2026-02-21,4.6,6
2026-02-22,4.4,15
2026-02-23,4.2,11
2026-02-24,5.1,8
2026-02-25,4.8,9
2026-02-26,4.1,7
2026-02-27,4.1,7
2026-02-28,6.9,17
2026-03-01,5.2,17
2026-03-02,4.8,10
2026-03-03,6,8
2026-03-04,7.7,9
2026-03-05,6.8,8
2026-03-06,8.2,6
2026-03-07,7.7,5
2026-03-08,6.7,16
2026-03-09,5.4,12
2026-03-10,7,9
2026-03-11,6.5,9
2026-03-12,5.1,8
2026-03-13,9.7,7
2026-03-14,9.7,6
2026-03-15,7.2,13
2026-03-16,5.8,9
2026-03-17,5.6,4
2026-03-18,6.3,8
2026-03-19,5.9,13
2026-03-20,7.1,9
2026-03-21,7.5,5
2026-03-22,7.1,15
2026-03-23,6.9,10
2026-03-24,5.2,8
2026-03-25,8.5,8
2026-03-26,7.9,6
2026-03-27,5.8,6
2026-03-28,9.6,4
2026-03-29,8.7,2
2026-03-30,5.8,6
2026-03-31,3.6,4
2026-04-01,5.1,5
2026-04-02,6.5,5
2026-04-03,3.4,7
2026-04-04,4.3,4
2026-04-05,6.8,3
2026-04-06,8.1,8
2026-04-07,2.6,4
2026-04-08,3.3,2
2026-04-09,4.8,5
2026-04-10,8,7
2026-04-11,6.9,4
2026-04-12,6.1,2
2026-04-13,8.1,7
2026-04-14,4.6,6
2026-04-15,3.1,5
2026-04-16,3.2,5
2026-04-17,3.4,8
2026-04-18,6.4,5
2026-04-19,6.9,3
2026-04-20,7,7
2026-04-21,6.7,4
2026-04-22,4.4,5
2026-04-23,3.7,5
2026-04-24,4.7,7
2026-04-25,6,2
2026-04-26,5.4,3
2026-04-27,3.5,7
2026-04-28,4.4,4
2026-04-29,3.1,5
2026-04-30,1,4
2026-05-01,1.8,4
2026-05-02,4.5,2
2026-05-03,3.7,2
2026-05-04,2.8,2
2026-05-05,2.9,0
2026-05-06,5.1,2
2026-05-07,4.8,2
2026-05-08,2.7,2
2026-05-09,2.8,3
2026-05-10,3.6,2
2026-05-11,6.5,2
2026-05-12,5.3,3
2026-05-13,5.3,3
2026-05-14,6.9,3
2026-05-15,6.2,2
2026-05-16,5.4,3
2026-05-17,4.9,2
2026-05-18,5.1,2
2026-05-19,2.1,3
2026-05-20,1.6,2
